商品ID,品牌,商品名称,商品类别,商品来源,商品URL,商品单价,商品销量,商品月销量,商品评论量,商品参数,卖家名称,卖家所在地,店铺类型,采集日期,采集城市,类目树
33895613,Sebamed/施巴,Sebamed施巴儿童洗发液250ml,儿童洗护品,一号店,http://item.yhd.com/item/39572607,89,0,NULL,79,规格参数 产地：德国 容量：201-250ml,NULL,NULL,自营,2015-05-07 10:52:20,NULL,母婴用品、玩具>洗护清洁>洗发沐浴>宝宝洗发/护发>Sebamed/施巴
21489,Elsker/嗳呵,elsker嗳呵婴儿草本洗衣液1L,儿童洗护品,一号店,http://item.yhd.com/item/95185,25.9,0,NULL,4586,规格参数 产地.：中国大陆 容量：1L,NULL,NULL,自营,2015-05-07 10:52:20,NULL,母婴用品、玩具>洗护清洁>衣物清洁护理>宝宝洗衣液>Elsker/嗳呵
31879,Elsker/嗳呵,elsker嗳呵婴儿草本抑菌洗衣液2L,儿童洗护品,一号店,http://item.yhd.com/item/100721,52.9,0,NULL,6692,规格参数 产地.：中国大陆 容量：2L,NULL,NULL,自营,2015-05-07 10:52:20,NULL,母婴用品、玩具>洗护清洁>衣物清洁护理>宝宝洗衣液>Elsker/嗳呵
9983,Johnson/强生,JohnsonsBaby/强生婴儿牛奶润肤露200ml,儿童洗护品,一号店,http://item.yhd.com/item/73780,29.9,0,NULL,3544,规格参数 产地：中国大陆 婴儿润肤乳/按摩油类别：润肤露 功效：保湿防燥 容量：200ml 包装：单个装,NULL,NULL,自营,2015-05-07 10:52:20,NULL,母婴用品、玩具>洗护清洁>婴儿护肤>润肤乳 >Johnson/强生
29783813,Pigeon/贝亲,Pigeon贝亲婴儿多效洗衣液(阳光香型)1.2L,儿童洗护品,一号店,http://item.yhd.com/item/34967965,39.8,0,NULL,430,规格参数 容量：1.2L,NULL,NULL,自营,2015-05-07 10:52:20,NULL,母婴用品、玩具>洗护清洁>衣物清洁护理>宝宝洗衣液>Pigeon/贝亲
4140792,NUK,NUK婴儿洗衣液（补充装）750ml,儿童洗护品,一号店,http://item.yhd.com/item/4260827,58,0,NULL,560,规格参数 容量：750ML,NULL,NULL,自营,2015-05-07 10:52:20,NULL,母婴用品、玩具>洗护清洁>衣物清洁护理>宝宝洗衣液>NUK
965559,宝宝金水,宝宝金水亲子套装,儿童洗护品,一号店,http://item.yhd.com/item/995665,28,0,NULL,5280,规格参数 产地.：中国大陆 是否进口：国产 包装：组合装,NULL,NULL,自营,2015-05-07 10:52:20,NULL,母婴用品、玩具>洗护清洁>驱蚊/防痱>驱蚊防虫>宝宝金水
1185995,宝宝金水,宝宝金水草本原液150ml（增量喷雾装）,儿童洗护品,一号店,http://item.yhd.com/item/1369836,26,0,NULL,1965,规格参数 产地.：中国大陆 是否进口：国产 包装：组合装,NULL,NULL,自营,2015-05-07 10:52:20,NULL,母婴用品、玩具>洗护清洁>驱蚊/防痱>驱蚊防虫>宝宝金水
1094867,Johnson/强生,JohnsonsBaby/强生婴儿柔泡型洗发沐浴露400ml,儿童洗护品,一号店,http://item.yhd.com/item/1253243,39.9,0,NULL,5195,规格参数 产地：中国大陆 类别：沐浴露 母婴包装：单个装,NULL,NULL,自营,2015-05-07 10:52:20,NULL,母婴用品、玩具>洗护清洁>洗发沐浴>沐浴露>Johnson/强生
3726396,Bmxauz/蓓氏,蓓氏婴儿抑菌防螨洗衣液1000ML*4瓶,儿童洗护品,一号店,http://item.yhd.com/item/8152234,59,0,NULL,4179,规格参数 产地.：中国大陆 容量：4000ml,NULL,NULL,自营,2015-05-07 10:52:20,NULL,母婴用品、玩具>洗护清洁>衣物清洁护理>宝宝洗衣液>Bmxauz/蓓氏
964858,郁美净,郁美净儿童霜5袋装,儿童洗护品,一号店,http://item.yhd.com/item/995743,6.4,0,NULL,26299,规格参数 产地：中国大陆 婴儿润肤乳/按摩油类别：面霜 功效：保湿防燥/防冻防裂 适用年龄：0-16岁 容量：25g*5 包装：单个装,NULL,NULL,自营,2015-05-07 10:52:20,NULL,母婴用品、玩具>洗护清洁>婴儿护肤>润肤乳 >郁美净
1113556,喜多,喜多植物精油驱蚊贴(红),儿童洗护品,一号店,http://item.yhd.com/item/1291165,29,0,NULL,5554,NULL,NULL,NULL,自营,2015-05-07 10:52:20,NULL,母婴用品、玩具>洗护清洁>驱蚊/防痱>防蚊环/防蚊贴>喜多
